정렬No.,출처파일,위치,기기번호,게이트명,표기명,입출구분,공간구분_NM,공간구분_code,세부유형_NM,세부유형_code,Tag_Code,라벨링_활동
1677,입출문기록(24.6. ~ 25. 6.),SBL P4,302-22-1-1,302-22 P4_3F-MF-3414(HVAC ROOM),P4_3F-MF-3414(HVAC ROOM),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1678,입출문기록(24.6. ~ 25. 6.),SBL P4,302-3-1-1,302-03 P4_GMP_3F_SB-3193(SAMPLE STAGING),P4_GMP_3F_SB-3193(SAMPLE STAGING),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1679,입출문기록(24.6. ~ 25. 6.),SBL P3,30-23-1-1,030-23 P3_K-GMP_1F_DS-1218(DS Entrance (M)),P3_K-GMP_1F_DS-1218(DS Entrance (M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1680,입출문기록(24.6. ~ 25. 6.),SBL P4,302-4-1-1,302-04 P4_GMP_3F_SB-3181(DS4B Entrance(M)),P4_GMP_3F_SB-3181(DS4B Entrance(M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1681,입출문기록(24.6. ~ 25. 6.),SBL P3,30-24-1-1,030-24 P3_GMP_1F_DS-1294(Sample Staging),P3_GMP_1F_DS-1294(Sample Staging),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1682,입출문기록(24.6. ~ 25. 6.),SBL P4,302-5-1-1,302-05 P4_GMP_3F_SB-3186(DS4B Entrance(W)),P4_GMP_3F_SB-3186(DS4B Entrance(W)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1683,입출문기록(24.6. ~ 25. 6.),SBL P3,30-25-1-1,030-25 P3_GMP_1F_DS-1292(Sample Staging),P3_GMP_1F_DS-1292(Sample Staging),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1684,입출문기록(24.6. ~ 25. 6.),SBL P4,302-6-1-1,302-06 P4_GMP_3F_SB-3173(Airlock),P4_GMP_3F_SB-3173(Airlock),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1685,입출문기록(24.6. ~ 25. 6.),SBL P3,30-26-1-1,030-26 P3_GMP_1F_DS-1711(Cold Storage (PP)),P3_GMP_1F_DS-1711(Cold Storage (PP)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1686,입출문기록(24.6. ~ 25. 6.),SBL P4,302-7-1-1,302-07 P4_GMP_3F_SB-3152(N2 Room),P4_GMP_3F_SB-3152(N2 Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1687,입출문기록(24.6. ~ 25. 6.),SBL P3,30-27-1-1,030-27 P3_GMP_1F_DS-1514(Freeze & Thaw techcore),P3_GMP_1F_DS-1514(Freeze & Thaw techcore),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1688,입출문기록(24.6. ~ 25. 6.),SBL P4,302-8-1-1,302-08 P4_GMP_3F_SB-3151(Cell Bank),P4_GMP_3F_SB-3151(Cell Bank),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1689,입출문기록(24.6. ~ 25. 6.),SBL P3,30-28-1-1,030-28 P3_GMP_1F_DS-1288(Fumehood Gown Airlock ),P3_GMP_1F_DS-1288(Fumehood Gown Airlock ),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
1690,입출문기록(24.6. ~ 25. 6.),SBL P4,302-9-1-1,302-09 P4_GMP_3F_SB-3142(Inoculum 1 Gown),P4_GMP_3F_SB-3142(Inoculum 1 Gown),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
1691,입출문기록(24.6. ~ 25. 6.),SBL P3,30-29-1-1,030-29 P3_GMP_1F_DS-1289(Fumehood Material A-lock),P3_GMP_1F_DS-1289(Fumehood Material A-lock),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1692,태깅문,SBL P4,303-01,303-01 P4_3층_P4-AD-3925(복도-12),P4_3층_P4-AD-3925(복도-12),IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1693,입출문기록(24.6. ~ 25. 6.),SBL P3,30-30-1-1,030-30 P3_GMP_1F_DS-1275(CLEAN CORRIDOR(3M)),P3_GMP_1F_DS-1275(CLEAN CORRIDOR(3M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1694,입출문기록(24.6. ~ 25. 6.),SBL P3,30-30-1-1,030-30 P3_생산동_1층_DS-1275(청정복도[3M]),P3_생산동_1층_DS-1275(청정복도[3M]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1695,태깅문,SBL P4,303-02,303-02 P4_3층_P4-AD-3312(사무실-2),P4_3층_P4-AD-3312(사무실-2),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1696,태깅문,SBL P4,303-05,303-05 P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1697,태깅문,SBL P4,303-06,303-06 P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1698,입출문기록(24.6. ~ 25. 6.),SBL P3,30-3-1-1,030-03 P3_K-GMP_1F_DS-1257(Bulk Fill Gowning),P3_K-GMP_1F_DS-1257(Bulk Fill Gowning),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
1699,입출문기록(24.6. ~ 25. 6.),SBL P4,303-1-1-1,303-01 P4_3층_P4-AD-3925(복도-12),P4_3층_P4-AD-3925(복도-12),IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1700,입출문기록(24.6. ~ 25. 6.),SBL P3,30-31-1-1,030-31 P3_GMP_1F_DS-1273(Material Vestibule (PP)),P3_GMP_1F_DS-1273(Material Vestibule (PP)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1701,입출문기록(24.6. ~ 25. 6.),SBL P4,303-2-1-1,303-02 P4_3층_P4-AD-3312(사무실-2),P4_3층_P4-AD-3312(사무실-2),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1702,입출문기록(24.6. ~ 25. 6.),SBL P3,30-32-1-1,030-32 P3_GMP_1F_DS-1285(Dispensed Material Stag.),P3_GMP_1F_DS-1285(Dispensed Material Stag.),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1703,입출문기록(24.6. ~ 25. 6.),SBL P4,303-3-1-1,303-03 P4_3층_P4-MF-3645(MCC),P4_3층_P4-MF-3645(MCC),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1704,입출문기록(24.6. ~ 25. 6.),SBL P3,30-33-1-1,030-33 P3_GMP_1F_DS-1285(Dispensed Material Stag.),P3_GMP_1F_DS-1285(Dispensed Material Stag.),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1705,입출문기록(24.6. ~ 25. 6.),SBL P4,303-4-1-1,303-04 P4_3층_P4-MF-3612(전기실-4),P4_3층_P4-MF-3612(전기실-4),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1706,입출문기록(24.6. ~ 25. 6.),SBL P3,30-34-1-1,030-34 P3_GMP_1F_DS-1290(AIRLOCK),P3_GMP_1F_DS-1290(AIRLOCK),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1707,입출문기록(24.6. ~ 25. 6.),SBL P3,30-34-1-1,030-34 P3_1F_DS-1290(물류전실),P3_1F_DS-1290(물류전실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1708,입출문기록(24.6. ~ 25. 6.),SBL P4,303-5-1-1,303-05 P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1709,입출문기록(24.6. ~ 25. 6.),SBL P3,30-35-1-1,030-35 P3_생산동_1층_WH-1911(복도[3M]),P3_생산동_1층_WH-1911(복도[3M]),IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1710,입출문기록(24.6. ~ 25. 6.),SBL P4,303-6-1-1,303-06 P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),P4_GMP_3F_SB-3211(TECHNICAL CORE_3F),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1711,입출문기록(24.6. ~ 25. 6.),SBL P3,30-36-1-1,030-36 P3_생산동_1층_WH-1511(냉동창고 기계실),P3_생산동_1층_WH-1511(냉동창고 기계실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1712,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P4,303-7-1-1,303-07 P4_3층_P4-AD-3921(복도-8 임시게이트) 입문,P4 3F (복도-8 임시게이트) 입문,IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1713,입출문기록(24.6. ~ 25. 6.),SBL P3,30-37-1-1,030-37 P3_K-GMP_1F_WH-1713(Freezer Storage Entran.,P3_K-GMP_1F_WH-1713(Freezer Storage Entran.,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1714,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P4,303-7-2-2,303-07 P4_3층_P4-AD-3921(복도-8 임시게이트) 출문,P4 3F (복도-8 임시게이트) 출문,OUT,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1715,입출문기록(24.6. ~ 25. 6.),SBL P4,303-8-1-1,303-08 P4_GMP_3F_AD-3977(Document Room-2),P4_GMP_3F_AD-3977(Document Room-2),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1716,입출문기록(24.6. ~ 25. 6.),SBL P4,303-8-1-1,303-08 P4_3층_P4-AD-3977(MBR review room),P4_3층_P4-AD-3977(MBR review room),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1717,입출문기록(24.6. ~ 25. 6.),SBL P3,30-38-1-1,030-38 P3_생산동_1층_WH-1611(1F-EPS-1E),P3_생산동_1층_WH-1611(1F-EPS-1E),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1718,입출문기록(24.6. ~ 25. 6.),SBL P3,30-39-1-1,030-39 P3_생산동_1층_WH-1612(1F-TPS-1E),P3_생산동_1층_WH-1612(1F-TPS-1E),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1719,태깅문,SBL P4,304-01,304-01 P4_3층_P4-MF-3260B(엘리베이터 전실),P4_3층_P4-MF-3260B(엘리베이터 전실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1720,입출문기록(24.6. ~ 25. 6.),SBL P3,30-40-1-1,030-40 P3_생산동_1층_WH-1613(1F-MCC-1E),P3_생산동_1층_WH-1613(1F-MCC-1E),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1721,태깅문,SBL P4,304-02,304-02 P4_GMP_3F_P4-SA-3211(Techcore),P4_GMP_3F_P4-SA-3211(Techcore),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1722,입출문기록(24.6. ~ 25. 6.),SBL P3,30-4-1-1,030-04 P3_GMP_1F_DS-1274(Clean Corridor (4M) ),P3_GMP_1F_DS-1274(Clean Corridor (4M) ),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1723,입출문기록(24.6. ~ 25. 6.),SBL P4,304-1-1-1,304-01 P4_3층_P4-MF-3260B(엘리베이터 전실),P4_3층_P4-MF-3260B(엘리베이터 전실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1724,입출문기록(24.6. ~ 25. 6.),SBL P3,30-41-1-1,030-41 P3_생산동_1층_WH-1231(실린더 가스실),P3_생산동_1층_WH-1231(실린더 가스실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1725,입출문기록(24.6. ~ 25. 6.),SBL P4,304-2-1-1,304-02 P4_GMP_3F_P4-SA-3211(Techcore),P4_GMP_3F_P4-SA-3211(Techcore),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1726,입출문기록(24.6. ~ 25. 6.),SBL P3,30-43-1-1,030-43 P3_생산동_1층_WH-1230(INCOMING GOWNINGRACK),P3_생산동_1층_WH-1230(INCOMING GOWNINGRACK),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
1727,입출문기록(24.6. ~ 25. 6.),SBL P3,30-44-1-1,030-44 P3_K-GMP_1F_WH-1111(Ambient Storage),P3_K-GMP_1F_WH-1111(Ambient Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1728,입출문기록(24.6. ~ 25. 6.),SBL P3,30-45-1-1,030-45 P3_K-GMP_1F_WH-1111(Ambient Storage),P3_K-GMP_1F_WH-1111(Ambient Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1729,입출문기록(24.6. ~ 25. 6.),SBL P3,30-46-1-1,030-46 P3_GMP_1F_DS-1712(Cold Staging),P3_GMP_1F_DS-1712(Cold Staging),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1730,입출문기록(24.6. ~ 25. 6.),SBL P3,30-47-1-1,030-47 P3_GMP_1F_DS-1713(Cold Staging ),P3_GMP_1F_DS-1713(Cold Staging ),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1731,입출문기록(24.6. ~ 25. 6.),SBL P3,30-48-1-1,030-48 P3_K-GMP_1F_WH-1715(COLD ROOM PACKING),P3_K-GMP_1F_WH-1715(COLD ROOM PACKING),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1732,입출문기록(24.6. ~ 25. 6.),SBL P3,30-49-1-1,030-49 P3_생산동_1층_WH-1229(반출도크-1[입문]),P3_생산동_1층_WH-1229(반출도크-1[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1733,입출문기록(24.6. ~ 25. 6.),SBL P3,30-49-1-2,030-49 P3_생산동_1층_WH-1229(반출도크-1[출문]),P3_생산동_1층_WH-1229(반출도크-1[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1734,입출문기록(24.6. ~ 25. 6.),SBL P3,30-50-1-1,030-50 P3_생산동_1층_WH-1228(반출도크-2[입문]),P3_생산동_1층_WH-1228(반출도크-2[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1735,입출문기록(24.6. ~ 25. 6.),SBL P3,30-50-1-2,030-50 P3_생산동_1층_WH-1228(반출도크-2[출문]),P3_생산동_1층_WH-1228(반출도크-2[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1736,태깅문,SBL P4,305-02,305-02 P4_3층_P4-AD-3924(복도-11),P4_3층_P4-AD-3924(복도-11),IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1737,태깅문,SBL P4,305-03,305-03 P4_GMP_3F_SA-3711(COLD ROOM(2to8℃)),P4_GMP_3F_SA-3711(COLD ROOM(2to8℃)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1738,태깅문,SBL P4,305-05,305-05 P4_3층_P4-MF-3611(전기실-3),P4_3층_P4-MF-3611(전기실-3),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1739,태깅문,SBL P4,305-06,305-06 P4_3층_P4-AD-3971(VALIDATION CALIBRATION),P4_3층_P4-AD-3971(VALIDATION CALIBRATION),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1740,태깅문,SBL P4,305-07,305-07 P4_GMP_3F_SA-3173(Material A/L),P4_GMP_3F_SA-3173(Material A/L),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1741,태깅문,SBL P4,305-08,305-08 P4_3층_P4-MF-3648(MCC),P4_3층_P4-MF-3648(MCC),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1742,태깅문,SBL P4,305-10,305-10 P4_GMP_3F_SA-3181(Entrance(M)),P4_GMP_3F_SA-3181(Entrance(M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1743,입출문기록(24.6. ~ 25. 6.),SBL P4,305-10-1-1,305-10 P4_GMP_3F_SA-3181(Entrance(M)),P4_GMP_3F_SA-3181(Entrance(M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1744,태깅문,SBL P4,305-11,305-11 P4_GMP_3F_SA-3186(Entrance (W)),P4_GMP_3F_SA-3186(Entrance (W)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1745,입출문기록(24.6. ~ 25. 6.),SBL P3,30-5-1-1,030-05 P3_GMP_1F_DS-1268(EM Equipment Storage-1),P3_GMP_1F_DS-1268(EM Equipment Storage-1),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1746,입출문기록(24.6. ~ 25. 6.),SBL P3,30-51-1-1,030-51 P3_생산동_1층_WH-1227(반입도크-1[입문]),P3_생산동_1층_WH-1227(반입도크-1[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1747,입출문기록(24.6. ~ 25. 6.),SBL P4,305-11-1-1,305-11 P4_GMP_3F_SA-3186(Entrance (W)),P4_GMP_3F_SA-3186(Entrance (W)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1748,입출문기록(24.6. ~ 25. 6.),SBL P3,30-51-1-2,030-51 P3_생산동_1층_WH-1227(반입도크-1[출문]),P3_생산동_1층_WH-1227(반입도크-1[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1749,태깅문,SBL P4,305-12,305-12 P4_3층_P4-SA-3212(기계실),P4_3층_P4-SA-3212(기계실),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1750,태깅문,SBL P4,305-12,305-12 P4_GMP_3층_P4-SA-3212(Techcore),P4_GMP_3층_P4-SA-3212(Techcore),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1751,입출문기록(24.6. ~ 25. 6.),SBL P4,305-12-1-1,305-12 P4_GMP_3F_P4-SA-3212(Techcore),P4_GMP_3F_P4-SA-3212(Techcore),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1752,입출문기록(24.6. ~ 25. 6.),SBL P4,305-12-1-1,305-12 P4_GMP_3층_P4-SA-3212(Techcore),P4_GMP_3층_P4-SA-3212(Techcore),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1753,태깅문,SBL P4,305-14,305-14 P4_3층_P4-MF-3611(전기실-3),P4_3층_P4-MF-3611(전기실-3),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1754,입출문기록(24.6. ~ 25. 6.),SBL P4,305-14-1-1,305-14 P4_3층_P4-MF-3611(전기실-3),P4_3층_P4-MF-3611(전기실-3),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1755,태깅문,SBL P4,305-16,305-16 P4_3층_P4-AD-3364(회의실-14),P4_3층_P4-AD-3364(회의실-14),IN,근무영역,G,협업공간,3,G3,"회의, 식사, 휴게"
1756,입출문기록(24.6. ~ 25. 6.),SBL P4,305-16-1-1,305-16 P4_3층_P4-AD-3364(회의실-14),P4_3층_P4-AD-3364(회의실-14),IN,근무영역,G,협업공간,3,G3,"회의, 식사, 휴게"
1757,태깅문,SBL P4,305-17,305-17 P4_3층_P4-AD-3357(회의실-7),P4_3층_P4-AD-3357(회의실-7),IN,근무영역,G,협업공간,3,G3,"회의, 식사, 휴게"
1758,입출문기록(24.6. ~ 25. 6.),SBL P4,305-17-1-1,305-17 P4_3층_P4-AD-3357(회의실-7),P4_3층_P4-AD-3357(회의실-7),IN,근무영역,G,협업공간,3,G3,"회의, 식사, 휴게"
1759,입출문기록(24.6. ~ 25. 6.),SBL P4,305-18-1-1,305-18 P4_GMP_3F_AD-3975(MBR Review Room),P4_GMP_3F_AD-3975(MBR Review Room),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1760,입출문기록(24.6. ~ 25. 6.),SBL P4,305-18-1-1,305-18 P4_3층_P4-AD-3975,P4_3층_P4-AD-3975,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1761,입출문기록(24.6. ~ 25. 6.),SBL P4,305-2-1-1,305-02 P4_3층_P4-AD-3924(복도-11),P4_3층_P4-AD-3924(복도-11),IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
1762,입출문기록(24.6. ~ 25. 6.),SBL P3,30-52-1-1,030-52 P3_생산동_1층_WH-1225(반입도크-2[입문]),P3_생산동_1층_WH-1225(반입도크-2[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1763,입출문기록(24.6. ~ 25. 6.),SBL P3,30-52-1-2,030-52 P3_생산동_1층_WH-1225(반입도크-2[출문]),P3_생산동_1층_WH-1225(반입도크-2[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1764,입출문기록(24.6. ~ 25. 6.),SBL P4,305-3-1-1,305-03 P4_GMP_3F_SA-3711(COLD ROOM(2to8℃)),P4_GMP_3F_SA-3711(COLD ROOM(2to8℃)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1765,입출문기록(24.6. ~ 25. 6.),SBL P3,30-53-1-1,030-53 P3_생산동_1층_WH-1225(반입도크-2[입문]),P3_생산동_1층_WH-1225(반입도크-2[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1766,입출문기록(24.6. ~ 25. 6.),SBL P3,30-53-1-2,030-53 P3_생산동_1층_WH-1225(반입도크-2[출문]),P3_생산동_1층_WH-1225(반입도크-2[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1767,입출문기록(24.6. ~ 25. 6.),SBL P4,305-4-1-1,305-04 P4_3층_P4-AD-3971(VALIDATION CALIBRATION),P4_3층_P4-AD-3971(VALIDATION CALIBRATION),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1768,입출문기록(24.6. ~ 25. 6.),SBL P3,30-54-1-1,030-54 P3_생산동_1층_WH-1225(반입도크-2[입문]),P3_생산동_1층_WH-1225(반입도크-2[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1769,입출문기록(24.6. ~ 25. 6.),SBL P3,30-54-1-2,030-54 P3_생산동_1층_WH-1225(반입도크-2[출문]),P3_생산동_1층_WH-1225(반입도크-2[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1770,입출문기록(24.6. ~ 25. 6.),SBL P4,305-5-1-1,305-05 P4_3층_P4-MF-3611(전기실-3),P4_3층_P4-MF-3611(전기실-3),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1771,입출문기록(24.6. ~ 25. 6.),SBL P3,30-55-1-1,030-55 P3_생산동_1층_WH-1224(반입/반출실[입문]),P3_생산동_1층_WH-1224(반입/반출실[입문]),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1772,입출문기록(24.6. ~ 25. 6.),SBL P3,30-55-1-2,030-55 P3_생산동_1층_WH-1224(반입/반출실[출문]),P3_생산동_1층_WH-1224(반입/반출실[출문]),OUT,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1773,입출문기록(24.6. ~ 25. 6.),SBL P4,305-6-1-1,305-06 P4_3층_P4-AD-3971(VALIDATION CALIBRATION),P4_3층_P4-AD-3971(VALIDATION CALIBRATION),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1774,입출문기록(24.6. ~ 25. 6.),SBL P4,305-7-1-1,305-07 P4_GMP_3F_SA-3173(Material A/L),P4_GMP_3F_SA-3173(Material A/L),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1775,입출문기록(24.6. ~ 25. 6.),SBL P4,305-8-1-1,305-08 P4_3층_P4-MF-3648(MCC),P4_3층_P4-MF-3648(MCC),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1776,입출문기록(24.6. ~ 25. 6.),SBL P4,305-9-1-1,305-09 P4_3층_P4-MF-3611(전기실-3),P4_3층_P4-MF-3611(전기실-3),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1777,태깅문,SBL P4,306-01,306-01 P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_B,P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_B,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1778,태깅문,SBL P4,306-02,306-02 P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_A,P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_A,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1779,입출문기록(24.6. ~ 25. 6.),SBL P3,30-6-1-1,030-06 P3_GMP_1F_WH-1211(Material Airlock),P3_GMP_1F_WH-1211(Material Airlock),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1780,입출문기록(24.6. ~ 25. 6.),SBL P4,306-1-1-1,306-01 P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_B,P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_B,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1781,입출문기록(24.6. ~ 25. 6.),SBL P4,306-2-1-1,306-02 P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_A,P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_A,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1782,입출문기록(24.6. ~ 25. 6.),SBL P4,306-3-1-1,306-03 P4-AD-3M3641(MCC),P4-AD-3M3641(MCC),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1783,태깅문,SBL P4,307-01,307-01 P4_MEZZ. 3층_P4-MF-3M260B(엘리베이터 전실),P4_MEZZ. 3층_P4-MF-3M260B(엘리베이터 전실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1784,태깅문,SBL P4,307-02,307-02 P4_MEZZ. 3층_P4-AD-3M111(홀),P4_MEZZ. 3층_P4-AD-3M111(홀),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1785,태깅문,SBL P4,307-03,307-03 P4_MEZZ. 3층_P4-AD-3M975(창고 -3),P4_MEZZ. 3층_P4-AD-3M975(창고 -3),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1786,입출문기록(24.6. ~ 25. 6.),SBL P3,30-7-1-1,030-07 P3_K-GMP_1F_WH-1212(Sampling Entrance (W)),P3_K-GMP_1F_WH-1212(Sampling Entrance (W)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1787,입출문기록(24.6. ~ 25. 6.),SBL P4,307-1-1-1,307-01 P4_MEZZ. 3층_P4-MF-3M260B(엘리베이터 전실),P4_MEZZ. 3층_P4-MF-3M260B(엘리베이터 전실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
1788,입출문기록(24.6. ~ 25. 6.),SBL P4,307-2-1-1,307-02 P4_MEZZ. 3층_P4-AD-3M111(홀),P4_MEZZ. 3층_P4-AD-3M111(홀),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
