정렬No.,출처파일,위치,기기번호,게이트명,표기명,입출구분,공간구분_NM,공간구분_code,세부유형_NM,세부유형_code,Tag_Code,라벨링_활동
631,입출문기록(24.6. ~ 25. 6.),SBL P2,024-4-1-1,024-04-01-01 P2_DP동_1층_WH-1602(전기실),P2_DP동_1층_WH-1602(전기실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
632,입출문기록(24.6. ~ 25. 6.),SBL P2,024-41-1-1,024-41 P2_GMP_1F_WH-1914(Material Buffer),P2_GMP_1F_WH-1914(Material Buffer),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
633,입출문기록(24.6. ~ 25. 6.),SBL P2,024-42-1-1,024-42 P2_K-GMP_1F_WH-1603A(DP Server Room),P2_K-GMP_1F_WH-1603A(DP Server Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
634,태깅문,SBL P2,024-43,024-43 P2_DP동_1층_WH-1737(Lab 장비 유지보수실2),P2_DP동_1층_WH-1737(Lab 장비 유지보수실2),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
635,입출문기록(24.6. ~ 25. 6.),SBL P2,024-43-1-1,024-43 P2_DP동_1층_WH-1737(Lab 장비 유지보수실2),P2_DP동_1층_WH-1737(Lab 장비 유지보수실2),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
636,입출문기록(24.6. ~ 25. 6.),SBL P2,024-45-1-1,024-45 P2_DP동_2층_DP-2116(냉장실),P2_DP동_2층_DP-2116(냉장실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
637,입출문기록(24.6. ~ 25. 6.),SBL P2,024-46-1-1,024-46 P2_DP동_2층_DP-2205(냉장실),P2_DP동_2층_DP-2205(냉장실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
638,입출문기록(24.6. ~ 25. 6.),SBL P2,024-47-1-1,024-47 P2_GMP_2F_DP-2603(DP I/O Room),P2_GMP_2F_DP-2603(DP I/O Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
639,입출문기록(24.6. ~ 25. 6.),SBL P2,024-48-1-1,024-48 P2_DP동_2층_DP-2117(냉장실),P2_DP동_2층_DP-2117(냉장실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
640,입출문기록(24.6. ~ 25. 6.),SBL P2,024-49-1-1,024-49 P2_GMP_2F_DP-2673(Waste Airlock),P2_GMP_2F_DP-2673(Waste Airlock),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
641,입출문기록(24.6. ~ 25. 6.),SBL P2,024-50-1-1,024-50 P2_GMP_2F_DP-2401(DP Technical Core),P2_GMP_2F_DP-2401(DP Technical Core),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
642,태깅문,SBL P2,024-51,024-51 P2_K-GMP_2F_DP-2213(B Grade Gown (In)),P2_K-GMP_2F_DP-2213(B Grade Gown (In)),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
643,입출문기록(24.6. ~ 25. 6.),SBL P2,024-51-1-1,024-51 P2_K-GMP_2F_DP-2213(B Grade Gown (In)),P2_K-GMP_2F_DP-2213(B Grade Gown (In)),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
644,입출문기록(24.6. ~ 25. 6.),SBL P2,024-52-1-1,024-52-01-01 P2_DP동_2층_DP-2205(냉장실),P2_DP동_2층_DP-2205(냉장실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
645,태깅문,SBL P2,024-53,024-53 P2_GMP_2F_DP-2114(Inspection and Packaging),P2_GMP_2F_DP-2114(Inspection and Packaging),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
646,입출문기록(24.6. ~ 25. 6.),SBL P2,024-53-1-1,024-53 P2_GMP_2F_DP-2114(Inspection and Packaging),P2_GMP_2F_DP-2114(Inspection and Packaging),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
647,입출문기록(24.6. ~ 25. 6.),SBL P2,024-55-1-1,024-55-01-01 P2_DP동_2층_DP-2503(창고),P2_DP동_2층_DP-2503(창고),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
648,태깅문,SBL P2,024-56-01-01,024-56-01-01 P2_DP동_2층_DP-2501(공조기실),P2_DP동_2층_DP-2501(공조기실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
649,입출문기록(24.6. ~ 25. 6.),SBL P2,024-56-1-1,024-56-01-01 P2_DP동_2층_DP-2501(공조기실),P2_DP동_2층_DP-2501(공조기실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
650,태깅문,SBL P2,024-57-01-01,024-57-01-01 P2_DP동_2층_AD-2101(사무실),P2_DP동_2층_AD-2101(사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
651,입출문기록(24.6. ~ 25. 6.),SBL P2,024-57-1-1,024-57-01-01 P2_DP동_2층_AD-2101(사무실),P2_DP동_2층_AD-2101(사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
652,입출문기록(24.6. ~ 25. 6.),SBL P2,024-58-1-1,024-58 P2_GMP_2F_DP-2401(DP Technical Core),P2_GMP_2F_DP-2401(DP Technical Core),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
653,태깅문,SBL P2,024-59,024-59 P2_K-GMP_2F_DP-2215(B Grade Degown (Out)),P2_K-GMP_2F_DP-2215(B Grade Degown (Out)),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
654,입출문기록(24.6. ~ 25. 6.),SBL P2,024-59-1-1,024-59 P2_K-GMP_2F_DP-2215(B Grade Degown (Out)),P2_K-GMP_2F_DP-2215(B Grade Degown (Out)),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
655,입출문기록(24.6. ~ 25. 6.),SBL P2,024-60-1-1,024-60-01-01 P2_DP동_2층_DP-2502(창고),P2_DP동_2층_DP-2502(창고),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
656,입출문기록(24.6. ~ 25. 6.),SBL P2,024-6-1-1,024-06 P2_K-GMP_1F_WH-1204(Freezer Storage Entranc,P2_K-GMP_1F_WH-1204(Freezer Storage Entranc,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
657,입출문기록(24.6. ~ 25. 6.),SBL P2,024-62-1-1,024-62 P2_GMP_2F_DP-2679(Material Buffer),P2_GMP_2F_DP-2679(Material Buffer),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
658,입출문기록(24.6. ~ 25. 6.),SBL P2,024-63-1-1,024-63-01-01 P2_DP동_2층_DP-2514(DP전기실),P2_DP동_2층_DP-2514(DP전기실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
659,입출문기록(24.6. ~ 25. 6.),SBL P2,024-65-1-1,024-65-01-01 P2_DP동_2층_DP-2513(UPS실),P2_DP동_2층_DP-2513(UPS실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
660,태깅문,SBL P2,024-66,024-66 P2_K-GMP_2F_DP-2306(DP Entrace (M)),P2_K-GMP_2F_DP-2306(DP Entrace (M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
661,입출문기록(24.6. ~ 25. 6.),SBL P2,024-66-1-1,024-66 P2_K-GMP_2F_DP-2306(DP Entrace (M)),P2_K-GMP_2F_DP-2306(DP Entrace (M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
662,입출문기록(24.6. ~ 25. 6.),SBL P2,024-67-1-1,024-67 P2_K-GMP_2F_DP-2307(DP Entrace (W)),P2_K-GMP_2F_DP-2307(DP Entrace (W)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
663,태깅문,SBL P2,024-68,024-68 P2_K-GMP_2F_AD-2110(P2 QA Archive Room),P2_K-GMP_2F_AD-2110(P2 QA Archive Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
664,입출문기록(24.6. ~ 25. 6.),SBL P2,024-68-1-1,024-68 P2_K-GMP_2F_AD-2110(P2 QA Archive Room),P2_K-GMP_2F_AD-2110(P2 QA Archive Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
