center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
오퍼레이션센터,DS담당,ADC/mRNA운영팀,16,78.89225682006062,12.9375,22.68125,14.962799669330392,1,0.6155690272802425,0.92,standard
오퍼레이션센터,DS담당,DS Compliance그룹,29,93.50136653507441,6.413793103448276,11.355172413793102,23.70179167931977,2,0.7086951213127114,0.9317390242625423,minimal
오퍼레이션센터,DS담당,DS System Readiness그룹,23,93.4412955465587,11.0,13.42391304347826,19.59514170040486,2,0.6422434430558002,0.92,standard
오퍼레이션센터,DS담당,DS담당,1,100.0,45.0,12.9,28.68217054263566,0,0.658,0.9216000000000001,minimal
오퍼레이션센터,DS담당,Plant 1팀,177,58.27172795062998,1.5932203389830508,17.577401129943503,13.615325276420673,2,0.7852903016330284,0.9470580603266057,minimal
오퍼레이션센터,DS담당,Plant 2팀,400,89.50783978283306,1.145,17.68225,13.739060357137808,2,0.9236813591313322,1.0,very_minimal
오퍼레이션센터,DS담당,Plant 3팀,430,92.85430453454785,0.8976744186046511,15.216511627906977,18.712078372636824,2,0.944486985580052,1.0,very_minimal
오퍼레이션센터,DS담당,Plant 4A팀,434,88.52079629718605,0.9101382488479263,14.386866359447003,20.42953923028876,2,0.9145163649122465,0.999354909473674,very_minimal
오퍼레이션센터,DS담당,Plant 4B팀,208,91.28011879860124,1.6490384615384615,15.054567307692306,23.777284557778593,2,0.915649321348251,0.9996947964044753,very_minimal
오퍼레이션센터,DS담당,Plant 5팀,234,96.69983357529833,1.7222222222222223,18.103205128205126,4.103962324280301,1,0.9351326676345266,1.0,very_minimal
오퍼레이션센터,DS담당,오퍼레이션기획팀,47,94.89805165382873,4.51063829787234,11.73936170212766,16.78296329859538,2,0.779060291721698,0.9458120583443397,minimal
오퍼레이션센터,DS담당,오퍼레이션혁신팀,24,94.88105004101722,7.916666666666667,12.697916666666668,25.430680885972105,2,0.6959825334974022,0.9291965066994805,minimal
오퍼레이션센터,MSAT담당,MSAT 1팀,90,96.6287197922908,2.7222222222222223,13.908333333333335,8.54004393848612,2,0.8830148791691632,0.989904463750749,very_minimal
오퍼레이션센터,MSAT담당,MSAT 2팀,108,95.2076677316294,3.138888888888889,13.041666666666666,13.532126375576855,2,0.8474973375931842,0.9792492012779553,very_minimal
오퍼레이션센터,MSAT담당,MSAT PD팀,59,94.33954748247291,5.016949152542373,21.27457627118644,10.078075207138305,1,0.8268497153536205,0.9730549146060862,very_minimal
오퍼레이션센터,MSAT담당,MSAT PMO T/F,12,92.43243243243244,14.0,13.104166666666666,27.631160572337045,0,0.6318130630630631,0.92,standard
오퍼레이션센터,MSAT담당,MSAT Technical Excellence팀,29,92.58797583660946,9.0,17.981034482758623,13.893949563716559,2,0.7003519033464378,0.9300703806692876,minimal
오퍼레이션센터,MSAT담당,MSAT담당,1,95.45454545454545,56.0,14.3,38.111888111888106,0,0.6678181818181819,0.9235636363636364,minimal
품질운영센터,-,Client Quality팀,14,91.41188594984541,10.857142857142858,10.39642857142857,35.65784953624184,0,0.573576115227953,0.92,standard
품질운영센터,-,DI 개선 T/F,12,86.59397049390634,15.333333333333334,12.991666666666665,27.325208466966007,0,0.6062092153089587,0.92,standard
품질운영센터,-,Quality PMO그룹,3,80.97982708933718,26.333333333333332,17.35,40.345821325648416,0,0.6239193083573487,0.92,standard
품질운영센터,-,Regulatory Affairs그룹,9,93.6140018921476,14.11111111111111,11.744444444444444,22.753074739829707,2,0.6093448964574792,0.92,standard
품질운영센터,-,품질운영센터,2,99.50738916256158,31.0,10.15,27.832512315270936,0,0.6010295566502463,0.92,standard
품질운영센터,QA담당,Batch Disposition그룹,5,94.54705364995603,20.8,11.370000000000001,20.40457343887423,0,0.6055882145998241,0.92,standard
품질운영센터,QA담당,Compliance QA팀,82,91.71725347362741,3.8048780487804876,13.560365853658535,25.617159044921085,2,0.8239299895042658,0.9721789968512797,very_minimal
품질운영센터,QA담당,Operation QA팀,113,92.33915953886202,4.415929203539823,15.46769911504425,19.890150756643877,2,0.8368787620492534,0.976063628614776,very_minimal
품질운영센터,QA담당,Technical QA팀,68,93.31792670848465,4.411764705882353,11.136029411764707,26.358534169692966,2,0.763639353892762,0.9427278707785525,minimal
품질운영센터,QC담당,ASAT팀,74,95.15057850549266,3.7162162162162162,16.17635135135135,14.769642036673488,2,0.8691158275354841,0.9857347482606452,very_minimal
품질운영센터,QC담당,QC Operations팀,235,95.68186845597995,1.7063829787234042,23.084255319148937,9.29803863736912,1,0.9315359844622177,1.0,very_minimal
품질운영센터,QC담당,QC Performance관리그룹,7,92.88389513108615,20.857142857142858,13.35,25.68218298555377,0,0.6385355805243447,0.92,standard
품질운영센터,QC담당,QC Support팀,174,92.79326241712414,3.293103448275862,17.63994252873563,13.245475426393211,2,0.8723799462202207,0.9867139838660662,very_minimal
품질운영센터,QC담당,QC담당,1,100.0,38.0,7.7,36.36363636363637,0,0.554,0.92,standard
