center,bu,team,employee_count,total_tags,unique_tags,g1_count,g2_count,g3_count,g4_count,n1_count,n2_count,t1_count,t2_count,t3_count,m1_count,m2_count,knox_total_count,knox_approval_count,knox_pims_count,knox_mail_count,o_tag_count,eam_count,lams_count,mes_count,equis_count,mdm_count,tag_diversity,tags_per_person,movement_complexity,cluster,reliability_score,correction_factor,correction_type
오퍼레이션센터,DS담당,Plant 4A팀,434,124878,396,72237,570,1180,193,503,1678,48517,0,0,0,0,1,0,1,0,13148,2956,0,20,9324,848,0.9,287.7,0.9,0,0.4315,0.9063,extended
오퍼레이션센터,DS담당,Plant 4B팀,208,62627,344,43340,326,1461,216,252,784,16248,0,0,0,0,0,0,0,0,8276,2571,0,0,5380,325,1.7,301.1,1.6,0,0.4575,0.9115000000000001,extended
오퍼레이션센터,DS담당,Plant 5팀,234,84723,404,78232,3121,15,147,638,641,1929,0,0,0,0,2,0,2,0,30053,2520,0,22050,5346,137,1.7,362.1,1.7,1,0.4595,0.9119,extended
오퍼레이션센터,-,Validation팀,45,12662,283,6792,2,879,53,16,271,4649,0,0,0,0,0,0,0,0,2037,944,0,0,1067,26,6.3,281.4,6.3,3,0.6204999999999999,0.92,standard
오퍼레이션센터,DP담당,무균충전팀,165,68914,353,53983,1698,107,141,324,695,11966,0,0,0,0,5,0,5,0,6897,849,0,0,3824,2224,2.1,417.7,2.1,2,0.47350000000000003,0.9147000000000001,extended
오퍼레이션센터,DS담당,오퍼레이션기획팀,47,11035,212,5166,0,21,60,17,286,5485,0,0,0,0,0,0,0,0,3243,0,0,86,672,2485,4.5,234.8,4.5,4,0.5575,0.92,standard
오퍼레이션센터,-,오퍼레이션센터,4,827,121,469,1,6,2,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,206.8,30.0,4,0.9,0.995,very_minimal
오퍼레이션센터,DS담당,오퍼레이션혁신팀,24,6095,191,3183,5,56,42,0,214,2595,0,0,0,0,0,0,0,0,514,21,0,76,417,0,8.0,254.0,7.9,4,0.678,0.9256000000000001,minimal
오퍼레이션센터,DP담당,이물검사·패키징팀,166,52009,283,34425,21,5,560,773,325,15900,0,0,0,0,1,0,1,0,2538,368,0,0,2063,107,1.7,313.3,1.7,3,0.4595,0.9119,extended
품질운영센터,QC담당,ASAT팀,74,23941,276,10075,11,18,190,19,284,13344,0,0,0,0,0,0,0,0,2264,249,1,0,1854,160,3.7,323.5,3.7,3,0.5295,0.92,standard
품질운영센터,QA담당,Batch Disposition그룹,5,1137,104,534,0,9,8,32,46,508,0,0,0,0,0,0,0,0,128,0,0,0,128,0,20.8,227.4,20.8,4,0.9,0.995,very_minimal
품질운영센터,-,Client Quality팀,14,2911,153,1782,0,19,16,2,56,1036,0,0,0,0,5,0,5,0,321,0,0,0,321,0,10.9,207.9,10.9,2,0.7635,0.9427,minimal
품질운영센터,QA담당,Compliance QA팀,82,22239,313,13306,2,68,288,34,276,8265,0,0,0,0,0,0,0,0,4630,52,0,12,2180,2386,3.8,271.2,3.8,3,0.533,0.92,standard
품질운영센터,-,DI 개선 T/F,12,3118,185,1634,9,5,23,35,84,1328,0,0,0,0,0,0,0,0,343,37,0,0,270,36,15.4,259.8,15.3,4,0.8309999999999998,0.9742999999999999,very_minimal
품질운영센터,QA담당,Operation QA팀,113,34957,500,21930,264,92,179,192,451,11849,0,0,0,0,4,0,4,0,5265,1955,0,163,3016,131,4.4,309.4,4.4,2,0.554,0.92,standard
품질운영센터,QC담당,QC Operations팀,235,108496,402,47215,2546,1436,596,68,806,55829,0,0,0,0,1,0,1,0,8857,277,0,22,5537,3021,1.7,461.7,1.7,0,0.4595,0.9119,extended
품질운영센터,QC담당,QC Performance관리그룹,7,1869,147,913,0,1,22,2,70,861,0,0,0,0,0,0,0,0,281,2,0,0,187,92,21.0,267.0,20.9,4,0.9,0.995,very_minimal
품질운영센터,QC담당,QC Support팀,174,61387,574,35623,103,317,375,67,329,24573,0,0,0,0,0,0,0,0,9890,839,0,0,4361,4690,3.3,352.8,3.3,3,0.5155,0.92,standard
품질운영센터,QC담당,QC담당,1,154,38,115,0,1,0,0,0,38,0,0,0,0,1,0,1,0,17,0,0,0,17,0,38.0,154.0,38.0,4,0.9,0.995,very_minimal
품질운영센터,-,Quality PMO그룹,3,1041,80,696,0,3,3,0,57,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,347.0,26.3,4,0.9,0.995,very_minimal
품질운영센터,-,Regulatory Affairs그룹,9,2114,127,945,0,4,16,4,60,1085,0,0,0,0,0,0,0,0,216,0,0,0,216,0,14.1,234.9,14.1,4,0.8115,0.96845,very_minimal
품질운영센터,QA담당,Technical QA팀,68,15145,301,6629,13,30,109,35,346,7983,0,0,0,0,0,0,0,0,15626,219,0,32,1602,13773,4.4,222.7,4.4,3,0.554,0.92,standard
품질운영센터,-,품질운영센터,2,406,62,251,0,0,2,0,6,147,0,0,0,0,0,0,0,0,10,0,0,0,10,0,31.0,203.0,31.0,4,0.9,0.995,very_minimal
