center,bu,team,employee_count,p1_ratio,p2_ratio,p3_ratio,p4_ratio,p5_ratio,location_fixity,office_ratio,cafeteria_ratio,movement_complexity,data_density,external_activity,primary_plant,cluster,reliability_score,correction_factor,correction_type
바이오연구소,-,Bio R&D지원그룹,6,45.44184421935033,40.13272790778903,5.798113866573525,14.250785888927698,0.0,71.46349982535801,20.118756549074398,0.0,27.5,23.858333333333334,10.129235068110374,P1,1,0.585853999301432,0.92,standard
바이오연구소,-,GT기술Lab,11,60.691823899371066,44.22731356693621,4.088050314465408,15.071877807726864,0.0,82.81671159029649,11.769991015274034,0.0,12.636363636363637,20.236363636363638,6.918238993710692,P1,1,0.6312668463611859,0.92,standard
바이오연구소,-,Open Innovation그룹,7,55.519480519480524,41.35551948051948,4.788961038961039,17.775974025974026,0.0,80.43831168831169,15.584415584415584,0.0,15.714285714285714,17.6,4.301948051948052,P1,1,0.6217532467532467,0.92,standard
바이오연구소,-,바이오연구소,1,0.0,32.432432432432435,67.56756756756756,32.432432432432435,0.0,100.0,0.0,0.0,12.0,1.85,32.432432432432435,P3,4,0.437,0.9074,extended
바이오연구소,-,선행공정개발Lab,27,18.491694875226326,26.56852711957805,32.20499094702039,20.735259387546247,0.03148862473431473,73.95890734472171,19.082106588994726,0.0,8.962962962962964,23.524074074074072,10.973785719908683,P3,2,0.626946740489998,0.92,standard
바이오연구소,-,펩타이드 T/F,3,52.834008097166,43.62348178137652,12.044534412955466,4.149797570850203,0.0,71.15384615384616,15.384615384615385,0.0,21.666666666666668,16.466666666666665,19.230769230769234,P1,1,0.5846153846153846,0.92,standard
바이오연구소,-,항체기술Lab,49,57.18389381407558,36.61532365905602,5.09137734634243,14.897726709920262,0.0,79.48590956366698,14.912584815016592,0.0,5.040816326530612,20.603061224489796,7.359714724382151,P1,1,0.7667191484587496,0.9433438296917499,minimal
상생협력센터,-,구매팀,240,9.540223390028443,21.981126744645984,20.20116403910267,43.41319621028046,13.229172552786725,87.94993501723457,16.57719764178486,0.0,2.995833333333333,22.12125,10.74758433632819,P4,6,0.8619247400689384,0.9835774220206815,very_minimal
상생협력센터,-,대외협력팀,4,2.952755905511811,31.758530183727036,12.401574803149607,77.55905511811024,0.0,97.3753280839895,9.973753280839896,0.0,29.0,19.05,11.089238845144358,P4,5,0.689501312335958,0.9279002624671916,minimal
상생협력센터,-,상생협력센터,1,14.000000000000002,56.49999999999999,8.5,68.5,0.0,96.5,6.5,0.0,52.0,10.0,2.0,P4,3,0.586,0.92,standard
상생협력센터,-,커뮤니케이션팀,12,3.51000351000351,38.71533871533872,10.249210249210249,76.06177606177607,0.666900666900667,92.69919269919271,2.106002106002106,0.0,12.666666666666666,11.870833333333334,18.708318708318707,P4,5,0.6082134374634376,0.92,standard
영업센터,-,영업센터,2,5.466666666666667,82.66666666666667,8.0,8.133333333333333,0.0,92.13333333333334,34.66666666666667,0.0,35.5,18.75,11.866666666666667,P2,3,0.6685333333333334,0.9237066666666667,minimal
영업센터,NJ Sales Office,CDO Sales팀,1,0.0,21.53846153846154,6.153846153846154,0.0,0.0,27.692307692307693,76.92307692307693,0.0,20.0,3.25,3.076923076923077,P2,0,0.1757692307692308,0.88,very_extended
영업센터,NJ Sales Office,CMO Sales팀,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3.0,3.9,0.0,P1,0,0.288,0.88,very_extended
영업센터,NJ Sales Office,SBA Support그룹,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0,5.5,0.0,P1,0,0.29,0.88,very_extended
영업센터,Sales&Operation담당,CDO SE팀,11,9.730221279175508,69.99090633525311,15.671415580478934,13.06456501970294,0.0,93.66474689299787,25.94725674446802,0.0,15.090909090909092,14.995454545454546,14.216429220976053,P2,2,0.6745680784810824,0.9249136156962166,minimal
