location_code,location_name,usage_count,tag_code
600-21-1-1,600-21 BP2_3층_P4-A2-3108(복도-2 입문),3079,T1
305-17-1-1,305-17 P4_3층_P4-AD-3357(회의실-7),3061,G3
513-18-1-1,513-18 P5_DS동_2층_DS-2311(사무실),3057,G1
700-41-1-1,700-41_P2 바이오파크 방향 S/G #2 입문,3012,T2
700-69-2-2,700-69_P4 P3 방향-3 S/G #1 출문,2986,T3
523-16-1-2,523-16 P5_DS동_Main 로비 S/G #3 출문,2984,N1
700-41-2-2,700-41_P2 바이오파크 방향 S/G #2 출문,2943,T3
505-14-1-1,505-14 P4_5층_P4-AD-5111(홀),2938,T1
407-3-1-1,407-03 P4_GMP_4F_QC-4114(Buffer Prep. Room),2919,G1
700-5-1-1,700-05_P3-BP1 브릿지 S/G #1-입문,2902,T1
55-1-1-2,55-01 ADC S/G 1레인_출문,2900,T3
503-2-1-1,503-02 P4_5층_P4-AD-5925(복도-9),2885,T1
29-54-1-1,029-54 P3_GMP_1F_DS-1323(MBR Review Room),2841,G1
700-48-2-2,700-48_P3 바이오프라자 방향 S/G #3 출문,2818,T3
305-18-1-1,305-18 P4_GMP_3F_AD-3975(MBR Review Room),2753,G1
700-93-1-1,700-93 P4_생산동_정문 SPEED GATE-2 입문,2748,T2
600-27-1-2,600-27 BP2_4층_P4-A2-4101(휘트니스 센터-1 출문),2725,N2
012-35-1-1,012-35 P1_K-GMP_3F_DS-3522(DS Gowning (M)),2723,G2
305-10-1-1,305-10 P4_GMP_3F_SA-3181(Entrance(M)),2688,T2
305-7-1-1,305-07 P4_GMP_3F_SA-3173(Material A/L),2660,G1
001-1-1-1,001-01 정문동 입문 근태리더기,2635,T2
407-9-1-1,407-09 P4_GMP_4F_QC-4124(Corridor),2628,T1
024-36-1-1,024-36-01-01 P2_DP동_1층_WH-1705(사무실),2610,G1
700-69-1-1,700-69_P4 P3 방향-3 S/G #1 입문,2607,T2
205-11-1-1,205-11 P4_2층_P4-AD-2923(복도-10),2586,T1
700-94-2-2,700-94 P4_생산동_정문 SPEED GATE-3 출문,2574,T2
305-16-1-1,305-16 P4_3층_P4-AD-3364(회의실-14),2562,G3
700-43-2-2,700-43_P2 도크장 방향 S/G #1 출문,2496,T3
523-32-1-1,523-32 P5_임시보안동 SPEED GATE-2 입문,2480,T2
033-47-1-1,033-47 P3_GMP_4F_QC-4215(Sample Control Room),2464,G1
523-16-1-1,523-16 P5_DS동_Main 로비 S/G #3 입문,2460,N1
305-11-1-1,305-11 P4_GMP_3F_SA-3186(Entrance (W)),2415,T2
700-60-2-2,700-60_P4 바이오파크 방향 S/G #2 출문,2409,T3
700-54-1-1,700-54_P3 P4방향 S/G #1 입문,2368,T2
43-16-1-1,043-16 RD_GMP_2F_RD-2304(Lab Coart Room 1),2353,G1
515-8-1-1,515-08 P5_GMP_1F_DS-1210B(M. A/L),2329,G1
024-2-1-1,024-02-01-01 P2_DP동_1층_WH-1711(방재센터),2305,G1
43-43-1-1,043-43 개발동 3층 RD-3302 (가우닝룸),2290,G2
302-6-1-1,302-06 P4_GMP_3F_SB-3173(Airlock),2262,G1
55-3-1-1,55-03 ADC S/G 3레인_입문,2241,T2
033-14-1-1,033-14 P3_생산동_4층_AD-4356(P3 MSAT Office),2238,G1
025-13-1-1,025-13 P2_GMP_5F_CM-5671(Material Airlock),2225,G1
